,Id (Review),Review,Sentiment
0,309371,L3 right screen not responding. L3 means 440V as opposed to 220V or 110V. It is like a binary order of magnitude. If you do not understand that then you should propose a better simple system for regular EV users.,Negative
1,309365,yea ... and same for other ahole evs who couldnt bother to move entire day,Negative
2,309362,none available,Negative
3,309358,Got an hour in while grabbing a late bite at the Lazy Dog across the street. ,Positive
4,309357,"Easy to find , bathroom inside Walgreens closes at 12a . ",Positive
5,309355,"Right L2 blinking its head off, no touchscreen message. What kind of companies are these, Blink and Twin Peaks, to leave their public 220 V appliances powered on, advertised, and out of order for months on end??",Negative
6,309354,ABB broken (the unit with CCS and CHAdeMO). Nissan CHAdeMO is fine.,Negative
7,309352,wtf thanks to all the aholes with volts and priuses who were plugged in for whole f**king day so i couldnt charge even though i checked twice during the day,Negative
8,309349,Chargers 1 thru 4 have been down since Thursday 9/10/15. Called NRG but not fixed yet as of 10:30pm on Sunday 9/13/15. Called again tonight and supposedly they're sending someone within 24 hours. ,Negative
9,309346,"As previous person reported, this business/building is no longer here, so no charging.",Negative
10,309345,Just behind the Avis/Budget. Easy to find.,Positive
11,309337,CCS/SAE COMBO cable is installed but door would not open.  ,Negative
12,309334,"Why bother going the extra mile for being green, when infrastructure let's us stranded left and right. Shopping for a new car and it will not be zero emissions. Benzine her I come again!",Negative
13,309333,"In ""authorized vehicles only"" area. Ask at front desk before using. Try not to block loading dock--they need to use it. ",Positive
14,309332,"My backpack was stolen from my car while charging here on a Sunday. The 2 security cameras pointed at the loading dock did not record anything. Bad people in this area, avoid this place. ",Negative
15,309330,Depending on your driving habit you'll get 20 miles of range for an hour of charge time here.,Negative
16,309328,all three chargers are functional,Positive
17,309325,"First visit to Royal Farms on our return trip to West Virginia from the Annapolis NDEW event. Wonderful facility, set-up perfectly for a 30 minute quick-charge. By the time we used the restroom, munched on some of their fantastic fried chicken, and checked e-mails, the car was charged and ready to go. Only ""complaint"" (nitpicky) is the lack of public wifi. Similar chains of this type (I'm looking at you Sheetz) would do well to emulate these guys. Will look to make other Royal Farms locations part of our EV road trips across the State of Maryland!",Positive
18,309319,Visited again on our way back to West Virginia from the Annapolis NDEW event. Many thanks to the Howard County government for this wonderful charging station!,Positive
19,309316,"If you get an error, try twisting (not pushing!) the emergency stop button a d retrying. Happened to me but its an easy fix. Somebody keeps going around pushing the emergency buttons on the very few ev chargers, this is not cool because the other machines require a technician to reset the machine. ",Negative
20,309314,"No chargers appear available, no people around, building appears vacant and property not kept up, for sale sign in front of building at 2900 Ogden Ave, lisle, IL.",Negative
21,309311,"Leased my LEAF from this dealer - brought 2015 LEAF in for annual maintenance (battery check, brake cleaning and airfilter cabin change $375??). Left car Friday morning and asked to have vehicle charged when I pick up on Saturday. Vehicle plugged in when arrived but chargers were turned off on order of Mr. Spenelli. Had to stop on way home to charge car. Thank you Spenelli Nissan!",Positive
